date,daily complaints,average_temp,average_wind,precipitation,WDF5,WSF5,wind_direction,N,NE,E,SE,S,SW,W,NW
2020-01-01,1,34.88,42,0,240,116,SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-15,1,35.06,24,0,290,103,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-23,1,34.52,12,0,150,63,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-25,1,40.28,14,0,130,58,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-29,1,29.84,45,0,240,116,SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-03-01,2,24.8,41,0,300,107,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-05,1,42.08,35,0,310,121,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-06,2,35.24,50,0,30,174,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,3,50.36,27,0,270,98,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-10,4,42.08,22,0,40,89,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,4,44.42,31,0,330,89,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-12,2,36.14,28,0,30,76,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,3,44.6,61,0,320,157,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,3,39.02,51,0,10,103,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,1,27.32,33,0,150,85,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-26,3,40.28,32,0,30,89,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,1,45.68,50,0,340,165,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,1,37.94,50,43,50,112,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2,37.04,44,0,30,121,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,1,37.58,47,8,10,107,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,2,42.26,61,300,360,148,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,1,45.68,77,119,10,157,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,2,44.6,35,0,20,107,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,2,48.02,41,0,290,148,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-07,2,45.32,26,0,140,94,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-09,1,41.54,54,338,140,188,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-10,3,38.3,65,5,290,157,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-14,1,51.8,47,0,260,157,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-15,1,45.86,35,0,280,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-16,2,39.38,34,0,290,125,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-18,1,40.46,39,33,50,94,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,8,49.1,41,0,270,125,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-24,4,43.16,33,0,70,116,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,1,45.32,26,0,180,85,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-26,6,44.42,38,5,50,161,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,7,42.44,43,0,40,125,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,5,46.22,30,0,140,85,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-01,4,49.82,43,244,130,170,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-02,14,55.94,55,3,310,179,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-04,9,55.58,51,0,330,139,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-05,10,49.46,66,0,310,152,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-07,4,49.64,39,0,310,98,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-08,6,50.540000000000006,52,25,300,188,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-09,2,41.0,80,89,310,215,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-10,5,43.16,61,0,280,165,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-11,1,51.44,38,51,170,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-12,7,48.92,63,0,310,157,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-13,10,46.58,56,0,290,157,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-14,5,55.040000000000006,33,0,320,125,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-15,4,52.34,30,124,300,148,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-16,11,56.120000000000005,47,3,330,139,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-17,3,55.58,34,0,180,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-18,7,57.02,24,0,150,85,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-19,3,51.44,34,0,50,98,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,1,53.24,28,0,200,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-22,6,67.82,26,0,150,103,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-23,9,59.36,42,0,110,139,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,1,48.92,25,0,90,76,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,2,49.28,14,0,90,54,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,2,64.22,29,0,170,103,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-28,2,71.42,45,0,220,116,SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-05-30,8,70.88,37,3,270,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-31,15,61.88,60,0,300,152,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-01,6,51.26,38,0,310,143,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-02,3,54.32,33,5,150,103,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-03,7,58.46,20,8,150,67,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-04,1,64.75999999999999,33,0,200,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-06,4,70.88,20,28,340,130,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,8,62.96,43,0,350,107,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,6,64.4,47,0,290,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-09,2,65.66,16,0,310,63,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-11,1,62.06,41,46,180,134,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-12,4,69.98,30,0,190,125,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-13,4,64.4,30,0,10,85,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,3,60.98,35,0,90,76,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
