date,daily complaints,average_temp,average_wind,precipitation,WDF5,WSF5,wind_direction,N,NE,E,SE,S,SW,W,NW
2020-01-20,1,21.56,39,0,340,103,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,2,29.66,24,3,190,130,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,2,43.88,26,28,170,81,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1,35.24,50,0,30,174,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,2,34.52,83,0,360,201,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,1,37.04,26,0,280,89,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,2,44.42,31,0,330,89,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-27,1,45.68,50,0,340,165,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,2,45.32,26,0,140,94,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-15,1,45.86,35,0,280,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-16,1,39.38,34,0,290,125,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-21,1,39.74,46,41,150,161,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-22,2,37.22,63,0,300,188,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-28,4,42.44,43,0,40,125,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,1,46.22,30,0,140,85,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-01,1,49.82,43,244,130,170,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-03,1,56.3,30,3,180,89,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-09,4,41.0,80,89,310,215,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-10,3,43.16,61,0,280,165,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-11,1,51.44,38,51,170,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-13,3,46.58,56,0,290,157,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-14,1,55.040000000000006,33,0,320,125,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-15,1,52.34,30,124,300,148,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-18,2,57.02,24,0,150,85,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-20,6,53.24,28,0,200,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-22,5,67.82,26,0,150,103,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-26,1,58.64,26,0,150,85,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-28,1,71.42,45,0,220,116,SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-05-31,3,61.88,60,0,300,152,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-01,1,51.26,38,0,310,143,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-04,4,64.75999999999999,33,0,200,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-06,1,70.88,20,28,340,130,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,1,64.4,47,0,290,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-10,1,58.46,35,5,90,81,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,3,69.98,30,0,190,125,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-13,1,64.4,30,0,10,85,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,5,64.03999999999999,21,0,150,81,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-17,1,65.48,29,0,150,89,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-18,3,71.06,27,0,180,94,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-19,5,77.36,32,0,180,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-20,2,80.78,22,0,160,76,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-21,1,69.62,31,0,90,81,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,1,65.12,28,0,100,81,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,1,66.92,27,0,140,76,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-24,3,70.16,34,0,320,98,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-25,1,71.6,31,0,200,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-26,2,71.78,23,0,190,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-27,3,72.68,17,0,190,85,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-01,1,66.74000000000001,16,0,140,67,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-07-02,5,71.24000000000001,30,81,40,98,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,2,68.53999999999999,41,15,90,112,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,1,65.66,35,0,180,103,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-08,2,70.52,31,132,30,174,NE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,1,78.62,42,0,250,116,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-13,4,76.28,14,8,150,94,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-07-14,2,69.44,30,157,340,107,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,1,63.86,27,0,200,94,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-18,4,75.74000000000001,20,0,280,98,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-19,1,78.62,33,0,180,98,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-20,9,83.84,38,0,220,107,SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
