latitude,longitude,smell_value,smell_description,feelings_symptoms,additional_comments,zip_code_id,zipcode,epoch time,date & time,date,sprague_miles,portland_pipeline_miles,south_portland_terminal_miles,gulf_oil_miles
43.6291,-70.2943,4,Petroleum,,,1018,04106,1577896764,Wed Jan  1 11:39:24 2020,01/01/20,0.6863461977335025,1.1523205752348444,0.6531678862725351,3.1009438765246946
43.6567,-70.2736,3,jet fuel emissions or the S. Portland petro facility,,,667,04102,1578977739,Mon Jan 13 23:55:39 2020,01/13/20,1.4925544948358997,1.8849028183598409,1.551183453507352,1.7558167196973395
43.6264,-70.2946,3,Petroleum ,Headache ,,1018,04106,1579109363,Wed Jan 15 12:29:23 2020,01/15/20,0.8529805539963942,1.186568094612235,0.8073021051765588,3.206175324446873
43.6325,-70.2597,4,"Pungent, oil",,,1018,04106,1579561694,Mon Jan 20 18:08:14 2020,01/20/20,1.3757327401902142,0.6162205966611966,1.302833522154298,1.5845494345573778
43.6296,-70.2622,3,,,,1018,04106,1582473259,Sun Feb 23 10:54:19 2020,02/23/20,1.32088949761958,0.45513865042423474,1.236067079090449,1.8193193691623881
43.6357,-70.2855,4,Petroleum smell,,,1018,04106,1582636749,Tue Feb 25 08:19:09 2020,02/25/20,0.11374558132597473,0.8306404575208883,0.019068090778150065,2.504714094658946
43.6322,-70.2638,4,Industrial petroleum tanks,"Sore throat, dizziness ",,1018,04106,1582998784,Sat Feb 29 12:53:04 2020,02/29/20,1.183240392457592,0.4189062087494771,1.1063078285494814,1.7366020425814774
43.6339,-70.2869,4,Petroleum,,,1018,04106,1583099369,Sun Mar  1 16:49:29 2020,03/01/20,0.230308240500808,0.8386473691115696,0.16189728446503607,2.6203217078465175
43.6334,-70.2879,3,Petroleum,,,1018,04106,1583113177,Sun Mar  1 20:39:37 2020,03/01/20,0.2740170309911588,0.8742042828409753,0.21838961746402807,2.6804233302209948
43.65,-70.2702,3,Hot asphalt,Very unpleasant ,,667,04102,1583157477,Mon Mar  2 08:57:57 2020,03/02/20,1.2000387425166148,1.418981011650514,1.231898615759396,1.5280354272878043
43.6351,-70.2447,5,Burnt tar,"Sore throat, tight chest ",,1018,04106,1583208990,Mon Mar  2 23:16:30 2020,03/02/20,2.0925547430736167,1.386362125036696,2.03272622803532,1.07703478599568
43.6335,-70.2442,5,Burning gas,"Tightness in chest, headache, tightness in throat",,1018,04106,1583209082,Mon Mar  2 23:18:02 2020,03/02/20,2.1280452340674874,1.3841357239850474,2.063827938033233,1.1798553056518146
43.6395,-70.2339,3,Oil,,,1018,04106,1583237350,Tue Mar  3 07:09:10 2020,03/03/20,2.632768855149587,1.9954662515379389,2.584287822062033,0.7970208913548232
43.643,-70.2395,4,Smell of burning rubber ,Throat congestion ,,1018,04106,1583240095,Tue Mar  3 07:54:55 2020,03/03/20,2.381525453799665,1.845094348515588,2.3436591112413616,0.5008442407646904
43.6331,-70.2861,5,Petroleum,,,1018,04106,1583456134,Thu Mar  5 19:55:34 2020,03/05/20,0.2846744270932927,0.7821289240028438,0.1998995175997505,2.608940532849582
43.6424,-70.2382,4,Smells like burning diesel fuel; acrid; permeates my house,Throat and eyes,,1018,04106,1583491972,Fri Mar  6 05:52:52 2020,03/06/20,2.4392555336895656,1.8814826548161268,2.399263720301543,0.5472408275668273
43.6347,-70.2882,3,Petroleum,,,1018,04106,1583498973,Fri Mar  6 07:49:33 2020,03/06/20,0.1956007781681869,0.9197919076258012,0.16869713432418557,2.656291780554965
43.6328,-70.2821,3,Petroleum,Nose irritation,,1018,04106,1583534035,Fri Mar  6 17:33:55 2020,03/06/20,0.3733337692078323,0.5873480649550024,0.26901942780570054,2.4424761868859264
43.6328,-70.245,5,Burning tires,"Headache, sore throat, irritated eyes",,1018,04106,1583640319,Sat Mar  7 23:05:19 2020,03/07/20,2.0948079694056747,1.3358055263881994,2.0285218722551597,1.2354299768693138
43.6344,-70.2447,5,Burnt tar,"Sore throat, nausea ",,1018,04106,1583640371,Sat Mar  7 23:06:11 2020,03/07/20,2.096500095578833,1.3736292220004853,2.034681153190687,1.1241678203637262
43.6339,-70.2468,5,Burnt tar,"Sore throat, nausea ",,1018,04106,1583647309,Sun Mar  8 01:01:49 2020,03/08/20,1.9955318477964241,1.2632430282634022,1.931918834628431,1.1852040058263467
43.6322,-70.2849,3,Oil,Nose and lung irritating,,1018,04106,1583793892,Mon Mar  9 18:44:52 2020,03/09/20,0.3545711117740319,0.7064924247496313,0.25873206642853913,2.5850617260712343
43.6348,-70.2874,4,Hydrogen sulfide from oil tanks,,,1018,04106,1583799438,Mon Mar  9 20:17:18 2020,03/09/20,0.17404774344588717,0.8859089086591175,0.13139889132085286,2.6168915621067845
43.6342,-70.2859,4,Petroleum smell,,,1018,04106,1583802930,Mon Mar  9 21:15:30 2020,03/09/20,0.20969305285588774,0.8004048095619691,0.12349453175508157,2.5662094066662506
43.6357,-70.2858,3,,,,1018,04106,1583839819,Tue Mar 10 07:30:19 2020,03/10/20,0.10867570966017184,0.8435383621426317,0.03008115143395798,2.5184737054068616
43.6349,-70.2866,3,Petroleum smell,,,1018,04106,1583839833,Tue Mar 10 07:30:33 2020,03/10/20,0.16009005949406685,0.8526170948528271,0.09682957131007136,2.577529838371855
43.6363,-70.2873,5,Diesel and toxic fumes,,,1018,04106,1583841520,Tue Mar 10 07:58:40 2020,03/10/20,0.07740466584043593,0.9293010704835597,0.1038222210723051,2.571624348349303
