date,average_temp,average_wind,precipitation
2020-01-01,34.88,42,0
2020-01-02,34.34,25,0
2020-01-03,40.28,14,0
2020-01-04,37.58,20,43
2020-01-05,33.98,47,28
2020-01-06,21.92,17,0
2020-01-07,28.04,17,0
2020-01-08,31.82,41,8
2020-01-09,24.62,37,0
2020-01-10,28.4,23,0
2020-01-11,46.4,26,0
2020-01-12,44.6,38,53
2020-01-13,27.5,30,0
2020-01-14,30.38,28,69
2020-01-15,35.06,24,0
2020-01-16,34.52,34,170
2020-01-17,17.78,68,0
2020-01-18,10.940000000000001,20,81
2020-01-19,22.64,34,41
2020-01-20,21.560000000000002,39,0
2020-01-21,12.559999999999999,13,0
2020-01-22,20.479999999999997,16,0
2020-01-23,28.94,11,0
2020-01-24,31.64,26,0
2020-01-25,37.76,54,348
2020-01-26,41.54,42,56
2020-01-27,39.38,30,0
2020-01-28,36.68,43,0
2020-01-29,31.28,47,0
2020-01-30,23.54,18,0
2020-01-31,28.58,9,0
2020-02-01,35.06,11,0
2020-02-02,35.24,22,0
2020-02-03,34.34,31,0
2020-02-04,35.96,11,0
2020-02-05,35.06,26,0
2020-02-06,28.04,34,160
2020-02-07,30.56,49,99
2020-02-08,23.18,47,0
2020-02-09,13.82,13,3
2020-02-10,33.44,26,58
2020-02-11,32.72,17,3
2020-02-12,36.32,38,3
2020-02-13,35.42,14,61
2020-02-14,23.36,54,0
2020-02-15,10.219999999999999,21,0
2020-02-16,30.02,39,0
2020-02-17,34.16,34,0
2020-02-18,24.98,30,145
2020-02-19,33.44,51,0
2020-02-20,22.28,26,0
2020-02-21,16.52,31,0
2020-02-22,30.74,36,0
2020-02-23,34.52,12,0
2020-02-24,36.32,16,0
2020-02-25,40.28,14,0
2020-02-26,41.18,26,0
2020-02-27,40.82,90,368
2020-02-28,31.82,55,0
2020-02-29,29.84,45,0
2020-03-01,24.8,41,0
2020-03-02,29.66,24,3
2020-03-03,43.879999999999995,26,28
2020-03-04,46.04,73,0
2020-03-05,42.08,35,0
2020-03-06,35.24,50,0
2020-03-07,34.52,83,0
2020-03-08,37.04,26,0
2020-03-09,50.36,27,0
2020-03-10,42.08,22,0
2020-03-11,44.42,31,0
2020-03-12,36.14,28,0
2020-03-13,43.16,57,216
2020-03-14,44.6,61,0
2020-03-15,39.019999999999996,51,0
2020-03-16,27.32,33,0
2020-03-17,35.96,34,30
2020-03-18,39.2,26,0
2020-03-19,41.36,41,66
2020-03-20,41.54,36,23
2020-03-21,45.68,66,0
2020-03-22,29.48,32,0
2020-03-23,30.74,41,216
2020-03-24,38.12,54,43
2020-03-25,37.04,34,0
2020-03-26,40.28,32,0
2020-03-27,45.68,50,0
2020-03-28,42.44,25,0
2020-03-29,42.8,37,206
2020-03-30,37.94,50,43
2020-03-31,37.04,44,0
2020-04-01,37.58,47,8
2020-04-02,42.26,61,300
2020-04-03,45.68,77,119
2020-04-04,44.6,35,0
2020-04-05,43.34,30,0
2020-04-06,48.019999999999996,41,0
2020-04-07,45.32,26,0
2020-04-08,41.72,26,0
2020-04-09,41.54,54,338
2020-04-10,38.3,65,5
2020-04-11,40.82,49,0
2020-04-12,42.08,41,0
2020-04-13,48.92,60,310
2020-04-14,51.8,47,0
2020-04-15,45.86,35,0
2020-04-16,39.38,34,0
2020-04-17,39.38,41,0
2020-04-18,40.46,39,33
2020-04-19,42.08,41,0
2020-04-20,49.1,41,0
2020-04-21,39.74,46,41
2020-04-22,37.22,63,0
2020-04-23,40.1,33,0
2020-04-24,43.16,33,0
2020-04-25,45.32,26,0
2020-04-26,44.42,38,5
2020-04-27,40.82,68,163
2020-04-28,42.44,43,0
2020-04-29,46.22,30,0
2020-04-30,44.24,41,3
2020-05-01,49.82,43,244
2020-05-02,55.94,55,3
2020-05-03,56.3,30,3
2020-05-04,55.58,51,0
2020-05-05,49.46,66,0
2020-05-06,46.22,30,0
2020-05-07,49.64,39,0
2020-05-08,50.540000000000006,52,25
2020-05-09,41.0,80,89
2020-05-10,43.16,61,0
2020-05-11,51.44,38,51
2020-05-12,48.92,63,0
