date,daily complaints,average_temp,average_wind,precipitation,WDF5,WSF5,wind_direction,N,S,NW,SE,SW,W,E,NE
2020-01-13,1,27.5,30,0,350,98,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,1,29.66,24,3,190,130,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-08,2,50.540000000000006,52,25,300,188,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-20,1,53.24,28,0,200,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-21,1,57.92,38,0,180,134,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-22,1,67.82,26,0,150,103,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-05-28,1,71.42,45,0,220,116,SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-05-29,2,70.34,47,0,170,125,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-30,2,70.88,37,3,270,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-02,3,54.32,33,5,150,103,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-03,2,58.46,20,8,150,67,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-04,2,64.75999999999999,33,0,200,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-05,1,72.68,28,0,180,89,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-06,1,70.88,20,28,340,130,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,1,65.66,16,0,310,63,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-12,2,69.98,30,0,190,125,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-19,3,77.36,32,0,180,116,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-20,9,80.78,22,0,160,76,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-22,4,65.12,28,0,100,81,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,1,66.92,27,0,140,76,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-24,6,70.16,34,0,320,98,NW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-25,6,71.6,31,0,200,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-26,5,71.78,23,0,190,107,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-06-27,2,72.68,17,0,190,85,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-01,1,66.74000000000001,16,0,140,67,SE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-07-07,1,65.66,35,0,180,103,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-09,2,71.78,22,0,160,63,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-11,1,72.86,55,102,160,130,S,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
